K,Alpha,Dataset,Human,ChatGPT,Total
2,1,002,0.972,0.904,0.938
2,1,004,0.98,0.906,0.943
2,1,006,0.98,0.902,0.941
2,1,008,0.98,0.906,0.943
2,1,010,0.98,0.904,0.942
2,10,002,0.97,0.908,0.939
2,10,004,0.972,0.91,0.941
2,10,006,0.974,0.908,0.941
2,10,008,0.976,0.906,0.941
2,10,010,0.974,0.906,0.94
2,100,002,0.886,0.932,0.909
2,100,004,0.934,0.922,0.928
2,100,006,0.95,0.916,0.933
2,100,008,0.96,0.916,0.938
2,100,010,0.96,0.914,0.937
4,1,002,0.996,0.966,0.981
4,1,004,0.996,0.976,0.986
4,1,006,0.996,0.98,0.988
4,1,008,0.996,0.986,0.991
4,1,010,0.996,0.984,0.99
4,10,002,0.99,0.964,0.977
4,10,004,0.994,0.974,0.984
4,10,006,0.994,0.974,0.984
4,10,008,0.994,0.976,0.985
4,10,010,0.994,0.978,0.986
4,100,002,0.988,0.946,0.967
4,100,004,0.986,0.958,0.972
4,100,006,0.986,0.964,0.975
4,100,008,0.986,0.97,0.978
4,100,010,0.986,0.968,0.977
6,1,002,0.998,0.966,0.982
6,1,004,0.998,0.986,0.992
6,1,006,1.0,0.992,0.996
6,1,008,1.0,0.994,0.997
6,1,010,1.0,0.996,0.998
6,10,002,0.998,0.932,0.965
6,10,004,0.998,0.954,0.976
6,10,006,0.998,0.972,0.985
6,10,008,0.998,0.98,0.989
6,10,010,0.998,0.984,0.991
6,100,002,0.996,0.764,0.88
6,100,004,0.998,0.846,0.922
6,100,006,0.998,0.87,0.934
6,100,008,0.998,0.906,0.952
6,100,010,0.998,0.91,0.954
8,1,002,0.998,0.958,0.978
8,1,004,0.998,0.978,0.988
8,1,006,1.0,0.99,0.995
8,1,008,1.0,0.994,0.997
8,1,010,1.0,0.996,0.998
8,10,002,0.998,0.906,0.952
8,10,004,0.998,0.936,0.967
8,10,006,1.0,0.952,0.976
8,10,008,1.0,0.968,0.984
8,10,010,1.0,0.976,0.988
8,100,002,0.996,0.756,0.876
8,100,004,0.998,0.808,0.903
8,100,006,1.0,0.84,0.92
8,100,008,1.0,0.86,0.93
8,100,010,1.0,0.874,0.937
