K,Alpha,Dataset,100,50,25
2,1,002,19,19,19
2,1,004,19,19,19
2,1,006,19,19,19
2,1,008,19,19,19
2,1,010,19,19,19
2,10,002,19,19,19
2,10,004,19,19,19
2,10,006,19,19,19
2,10,008,19,19,19
2,10,010,19,19,19
2,100,002,19,18,19
2,100,004,19,19,18
2,100,006,19,19,18
2,100,008,19,19,18
2,100,010,19,19,18
4,1,002,20,20,20
4,1,004,20,20,20
4,1,006,20,20,20
4,1,008,20,20,20
4,1,010,20,20,20
4,10,002,20,20,20
4,10,004,20,20,20
4,10,006,20,20,20
4,10,008,20,20,20
4,10,010,20,20,20
4,100,002,20,20,20
4,100,004,20,20,20
4,100,006,20,20,20
4,100,008,20,20,20
4,100,010,20,20,20
6,1,002,20,20,20
6,1,004,20,20,20
6,1,006,20,20,20
6,1,008,20,20,20
6,1,010,20,20,20
6,10,002,20,20,20
6,10,004,20,20,20
6,10,006,20,20,20
6,10,008,20,20,20
6,10,010,20,20,20
6,100,002,17,17,16
6,100,004,19,18,18
6,100,006,19,19,19
6,100,008,19,19,20
6,100,010,20,20,20
8,1,002,20,20,20
8,1,004,20,20,20
8,1,006,20,20,20
8,1,008,20,20,20
8,1,010,20,20,20
8,10,002,20,20,20
8,10,004,20,20,20
8,10,006,20,20,20
8,10,008,20,20,20
8,10,010,20,20,20
8,100,002,17,17,17
8,100,004,19,18,18
8,100,006,19,18,18
8,100,008,19,18,19
8,100,010,19,19,20
